timestamp,rep_duration_seconds,min_elbow_angle,max_elbow_angle,avg_elbow_angle,min_back_angle,avg_back_angle,max_flare_angle,min_neck_angle,label_binary,label_specific
2026-03-28T07:15:47.324842,2.35,72.21,166.6,116.45,175.13,176.06,130.49,134.57,bad_form,elbow_flare
2026-03-28T07:15:51.172300,2.48,89.13,160.8,120.43,174.42,175.46,132.06,131.04,bad_form,shallow_depth
2026-03-28T07:15:57.854173,3.79,45.36,161.67,107.72,174.62,175.6,133.35,134.4,bad_form,elbow_flare
2026-03-28T07:16:02.120113,4.26,48.43,157.18,123.33,173.29,174.62,132.35,130.16,bad_form,elbow_flare
2026-03-28T07:16:03.787086,1.67,62.3,155.93,116.88,174.21,174.76,132.2,130.26,bad_form,elbow_flare
2026-03-28T07:16:04.983390,0.74,86.58,163.12,131.95,174.68,174.8,133.05,135.49,bad_form,shallow_depth
2026-03-28T07:16:45.705382,3.07,52.46,166.51,111.49,171.35,173.4,130.51,122.58,good_form,perfect
2026-03-28T07:16:47.057356,1.35,54.5,154.7,114.95,171.66,174.73,31.85,139.17,good_form,perfect
2026-03-28T07:16:48.439865,1.2,48.02,163.95,111.11,175.33,177.25,14.54,140.1,good_form,perfect
2026-03-28T07:17:04.977063,13.84,30.92,172.83,85.8,165.13,169.77,141.29,138.79,good_form,perfect
2026-03-28T07:17:20.306243,2.83,51.65,161.95,104.79,140.55,163.87,159.18,30.8,good_form,perfect
2026-03-28T07:17:24.565270,2.39,58.28,174.05,110.58,146.62,163.15,156.05,19.91,good_form,perfect
2026-03-28T07:17:27.968131,1.86,71.52,166.55,116.33,70.81,128.83,138.81,11.09,good_form,perfect
2026-03-28T07:17:31.902232,2.06,53.85,166.05,113.47,22.26,106.12,82.68,31.43,good_form,perfect
2026-03-28T07:17:36.101853,1.92,60.46,163.54,108.31,74.67,124.85,123.51,17.54,good_form,perfect
2026-03-28T07:17:40.204286,1.93,63.45,163.78,113.61,80.31,128.83,125.43,20.44,good_form,perfect
2026-03-28T07:17:44.193777,1.76,64.56,166.74,119.84,48.86,122.08,85.18,40.48,good_form,perfect
2026-03-28T07:17:47.707226,1.6,78.43,168.51,124.97,44.95,112.1,85.49,46.13,good_form,perfect
2026-03-28T07:17:49.107168,0.66,83.61,160.48,127.49,157.32,162.83,38.76,115.11,bad_form,shallow_depth
2026-03-28T07:18:03.247053,2.52,63.63,166.64,109.51,96.07,137.78,163.2,16.41,good_form,perfect
2026-03-28T07:18:11.568623,2.62,66.41,160.85,107.79,30.37,129.73,173.93,16.85,good_form,perfect
2026-03-28T07:18:17.006870,3.72,57.26,168.83,107.42,19.32,129.41,148.35,21.94,good_form,perfect
2026-03-28T07:18:21.533245,2.53,67.41,163.97,104.46,21.76,104.65,151.49,25.21,good_form,perfect
2026-03-28T07:18:26.457398,2.94,77.25,169.03,114.07,87.69,146.74,167.66,13.0,good_form,perfect
2026-03-28T07:18:31.088429,2.8,63.84,169.69,111.05,85.88,146.96,167.37,15.58,good_form,perfect
2026-03-28T07:18:37.210757,2.74,80.99,167.44,121.25,29.24,123.92,162.9,20.15,good_form,perfect
2026-03-28T07:18:53.310040,4.13,75.14,164.43,108.4,30.01,94.99,124.96,22.88,good_form,perfect
2026-03-28T07:56:51.816981,4.69,33.38,162.96,107.93,165.19,171.69,50.59,136.52,good_form,perfect
2026-03-28T07:57:01.091370,1.55,45.51,164.31,113.47,118.05,157.74,70.41,129.64,good_form,perfect
2026-03-28T07:57:14.560997,1.86,83.12,161.5,136.59,169.94,172.81,83.2,149.4,good_form,perfect
